cod_marca_veiculo;alarme;airbag;arquente;bancocouro;arcondic;abs;desembtras;travaeletr;vidroseletr;rodasliga;sensorchuva;sensorestacion
10;N;S;S;S;S;N;N;S;S;S;N;N
12;S;N;S;S;S;S;S;S;S;S;N;N
3;N;N;N;S;N;N;N;N;N;S;N;N
2;S;N;N;N;N;N;N;S;S;S;N;N
26;N;S;S;S;S;S;S;N;N;S;N;N
102;S;S;S;S;S;S;S;S;S;S;N;N
16;S;N;S;S;S;S;S;S;S;S;N;N
5;S;N;N;N;N;N;N;N;N;N;N;N
11;S;S;S;S;S;S;S;S;S;S;N;N
234;N;N;N;N;N;N;N;N;N;N;N;N
35;S;S;S;S;S;S;S;S;S;S;N;N
4;S;N;N;N;N;N;N;N;N;N;N;N
8;S;N;S;S;S;N;S;S;S;S;N;N
17;S;S;S;N;S;S;S;S;S;S;N;N
30;N;S;S;N;S;N;S;N;N;N;N;N
25;S;S;S;S;S;S;S;S;S;S;S;S
33;N;S;S;S;S;S;S;S;S;S;N;N
232;S;N;N;S;S;N;N;S;S;S;N;S
28;S;N;S;N;S;N;S;S;S;S;N;N
21;N;N;N;N;S;N;N;S;S;N;N;N
18;S;S;S;S;S;S;S;S;S;S;N;N
15;S;S;S;S;S;S;N;S;S;S;N;S
23;S;S;S;S;S;S;S;S;N;S;S;N
270;S;S;S;N;S;N;S;S;S;N;N;N
123;S;N;S;S;S;S;N;S;S;S;N;N
226;S;S;S;N;S;S;S;S;S;S;S;N
27;S;S;S;S;S;S;S;S;S;S;S;S
117;S;S;S;S;S;S;S;S;S;S;S;S
36;S;S;S;S;S;S;S;S;S;S;N;S
34;S;S;S;S;S;S;S;S;S;S;N;N
218;S;S;S;S;S;S;S;S;S;S;N;S
180;S;S;S;S;S;S;S;S;S;S;S;N
246;S;S;N;S;S;S;S;S;S;S;N;S
32;N;S;N;S;S;S;S;S;S;S;N;S
29;S;S;S;S;S;S;S;S;S;S;N;S
287;S;S;N;S;S;N;S;S;S;N;N;N
-1;S;S;S;S;S;S;S;S;S;S;S;S
133;S;S;N;N;S;S;N;S;N;N;N;N
150;N;N;N;N;N;N;N;N;N;N;N;N
304;S;S;S;S;S;S;S;S;S;S;N;N
176;N;N;N;N;N;N;N;N;N;S;N;N
9;S;S;S;S;S;S;S;S;S;S;N;S
162;N;N;N;S;N;N;N;N;N;N;N;N
153;S;N;S;S;S;N;S;S;S;S;N;N
183;N;N;N;N;N;N;N;N;N;N;N;N
144;S;N;N;S;N;N;N;N;N;S;N;N
280;N;S;N;N;S;S;N;S;S;S;N;S
213;N;N;N;N;N;N;N;N;N;N;N;N
216;N;N;N;S;N;N;N;N;N;N;N;N
243;N;S;S;S;S;S;N;S;S;N;N;N
120;S;S;S;S;S;S;S;S;S;S;S;S
143;S;S;S;S;S;S;N;S;S;N;S;N
258;N;N;S;N;S;N;N;S;S;N;N;N
111;S;S;S;S;S;S;S;S;S;S;N;S
172;N;N;S;N;N;N;N;N;N;N;N;N
6;N;S;S;N;S;N;N;N;N;N;N;N
299;N;N;N;N;S;N;N;N;N;N;N;N
115;N;N;N;S;S;N;N;S;S;N;N;N
239;S;S;S;S;S;S;S;S;S;S;N;S
320;N;N;N;N;N;N;N;N;N;N;N;N
119;N;N;S;N;N;N;N;N;N;N;N;N
241;S;N;N;N;S;N;N;N;N;N;N;N
178;N;N;N;N;N;N;N;N;N;N;N;N
313;N;N;N;N;N;N;N;N;N;N;N;N
130;N;N;N;N;N;N;N;N;N;N;N;N
257;N;N;N;N;N;N;N;N;N;N;N;N
186;N;N;S;S;S;N;N;S;S;N;N;N
24;N;N;N;N;S;N;N;S;S;S;N;N
273;N;N;N;N;N;N;N;N;N;S;N;N
42;N;N;N;N;N;N;N;N;N;N;N;N
288;N;N;N;N;N;N;N;N;N;N;N;N
22;N;N;N;N;N;N;N;N;N;N;N;N
311;N;N;N;N;N;N;N;N;N;N;N;N
260;N;N;N;S;N;N;N;N;N;S;N;N
219;N;N;N;N;N;N;N;N;N;N;N;N
